case_id,entity_id,case_type,order_id,payment_id,method,settlement_id,refund_id,bank_txn_id,expected_amount,actual_amount,variance,transaction_date,settlement_date,bank_value_date,candidate_count,confidence_score,evidence,reason,recommended_action,decision,status
EXC-001,setl_H8xIZM1JRcoreo,MISSING_OR_DELAYED_SETTLEMENT,order_TpigTHKbfoLISR,pay_nKYaXRvj7uff0L,UPI,setl_H8xIZM1JRcoreo,,TXN4296237088,3370.95,3370.95,0.0,2026-08-08,2026-08-10,2026-08-16,1,91.8,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN4296237088"", ""bank_amount"": 337095, ""bank_value_date"": ""2026-08-16T01:05:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 6, ""confidence_score"": 91.8}]}","Reference and amount match, but the credit landed outside the expected settlement window.","Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",HUMAN_REVIEW,OPEN
EXC-002,setl_dzHzmA4KR1Vxav,MISSING_OR_DELAYED_SETTLEMENT,order_iCGItUBY3A4Bj1,pay_qpNVGMrerqtHio,CARD,setl_dzHzmA4KR1Vxav,,,4794.3,,,2026-08-08,2026-08-10,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-003,setl_EBdqir2EbNXSta,MISSING_OR_DELAYED_SETTLEMENT,order_GBr9BY8DztgjzE,pay_6YICtu8zF9OHzl,NETBANKING,setl_EBdqir2EbNXSta,,,4004.1,,,2026-08-12,2026-08-14,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-004,setl_jBvKNAp0mxDoJJ,MISSING_OR_DELAYED_SETTLEMENT,order_UAgN2BR4cXsxjG,pay_QlkLxQEKoNCP3C,NETBANKING,setl_jBvKNAp0mxDoJJ,,,4812.01,,,2026-08-19,2026-08-21,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-005,setl_FhfjBFZf4Y25zy,MISSING_OR_DELAYED_SETTLEMENT,order_ScwS8LUWoo7W4m,pay_69CrxG7YXipN2I,UPI,setl_FhfjBFZf4Y25zy,,,3644.41,,,2026-09-09,2026-09-11,,0,0.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": []}",No matching bank record was found within the reconciliation window.,"Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",EXCEPTION,OPEN
EXC-006,setl_bIwXILft9SGVZe,MISSING_OR_DELAYED_SETTLEMENT,order_hWRnLR9miekS9Y,pay_9PRIssjRRkwn9X,CARD,setl_bIwXILft9SGVZe,,TXN8531929520,2748.05,2748.05,0.0,2026-08-25,2026-08-27,2026-09-01,1,92.5,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN8531929520"", ""bank_amount"": 274805, ""bank_value_date"": ""2026-09-01T19:38:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 5, ""confidence_score"": 92.5}]}","Reference and amount match, but the credit landed outside the expected settlement window.","Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",HUMAN_REVIEW,OPEN
EXC-007,setl_mFFciuDCLFuMk9,MISSING_OR_DELAYED_SETTLEMENT,order_vdE2ODH0A2TVwy,pay_IwrxBIZMLhfx9I,NETBANKING,setl_mFFciuDCLFuMk9,,TXN8652695204,1329.97,1329.97,0.0,2026-08-14,2026-08-16,2026-08-26,1,88.8,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN8652695204"", ""bank_amount"": 132997, ""bank_value_date"": ""2026-08-26T20:13:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 10, ""confidence_score"": 88.8}]}","Reference and amount match, but the credit landed outside the expected settlement window.","Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",HUMAN_REVIEW,OPEN
EXC-008,setl_lpIn8srmRtv5Xq,SETTLEMENT_VARIANCE,order_WxYpJRlBzzmFLD,pay_TdimuPGtk4vvVS,NETBANKING,setl_lpIn8srmRtv5Xq,,TXN2596165265,2781.26,2805.88,24.62,2026-09-10,2026-09-12,2026-09-12,1,91.4,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN2596165265"", ""bank_amount"": 280588, ""bank_value_date"": ""2026-09-12T21:37:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 24.62, ""date_gap_days"": 0, ""confidence_score"": 91.4}]}",Reference matches; amount is within tolerance but not exact.,Compare against the settlement's fee/tax break-down; escalate to Razorpay settlements support if the gap remains unexplained.,HUMAN_REVIEW,OPEN
EXC-009,setl_QKWGGw4gZ3mHk0,MISSING_OR_DELAYED_SETTLEMENT,order_U7sSaOQdhtzF3R,pay_QN6wn7DC9xR4UX,CARD,setl_QKWGGw4gZ3mHk0,,TXN7387503099,2061.21,2061.21,0.0,2026-08-16,2026-08-18,2026-08-25,1,91.0,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN7387503099"", ""bank_amount"": 206121, ""bank_value_date"": ""2026-08-25T15:24:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 7, ""confidence_score"": 91.0}]}","Reference and amount match, but the credit landed outside the expected settlement window.","Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",HUMAN_REVIEW,OPEN
EXC-010,setl_z0oRaFxMPMDEaI,MISSING_OR_DELAYED_SETTLEMENT,order_TbIKSsmoJpI6uV,pay_7NEkXkSE4HNdc0,UPI,setl_z0oRaFxMPMDEaI,,TXN6237094262,331.67,331.67,0.0,2026-09-06,2026-09-08,2026-09-14,1,91.8,"{""direction"": ""credit"", ""duplicate_ledger_group"": false, ""duplicate_bank_group"": false, ""candidates"": [{""bank_txn_id"": ""TXN6237094262"", ""bank_amount"": 33167, ""bank_value_date"": ""2026-09-14T07:49:00"", ""reference_match"": 1.0, ""amount_diff_rupees"": 0.0, ""date_gap_days"": 6, ""confidence_score"": 91.8}]}","Reference and amount match, but the credit landed outside the expected settlement window.","Re-check the bank statement after the settlement window elapses; if still missing, raise a ticket with the settlement_id and bank_reference.",HUMAN_REVIEW,OPEN
